,av_depth,max_depth,min_depth,num_acl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,lemma_sim_nei,pos_sim_all,lemma_sim_all,name,errors,type
2466,5.333333333333333,8,2,4,7,12,293,6.0,24.41666666666667,29,16,13,3,18,3,1,21.454545454545453,26.90909090909091,20.397379640561454,26.38274629410993,Exam2017_EGe_163_2.txt,1,2
2467,4.1875,7,3,2,6,16,288,5.5625,18.0,24,18,6,5,21,0,1,13.333333333333336,18.666666666666668,12.9142858992859,18.08268231768232,Exam2016_ZEv_3_2.txt,2,2
2468,5.133333333333334,9,3,2,9,15,314,2.2666666666666666,20.933333333333334,30,19,11,7,10,1,4,17.142857142857142,23.142857142857142,16.22973276723277,21.59144724323296,Exam2014_DAr_25_2.txt,1,2
2473,4.0,6,0,6,4,12,258,9.416666666666666,21.5,19,14,5,5,11,1,3,18.454545454545453,23.818181818181817,17.637704971795877,22.96488587170405,Exam2016_JSl_1_2.txt,1,2
2474,4.666666666666667,8,3,4,4,12,262,8.833333333333334,21.83333333333333,23,15,8,4,19,3,3,16.272727272727273,22.818181818181817,16.994490358126725,23.772307490489307,Exam2016_JSl_124_2.txt,1,2
2475,3.8947368421052633,13,1,3,2,19,281,3.526315789473684,14.789473684210524,35,28,7,6,12,1,2,14.388888888888893,18.277777777777786,14.962423043550494,18.677719230660404,Exam2014_ESha_23_2.txt,1,2
2476,5.307692307692308,9,3,8,6,13,298,9.153846153846152,22.923076923076927,24,15,9,12,21,2,4,19.33333333333333,24.66666666666667,19.43511604136604,25.67647907647908,Exam2016_OR_60_2.txt,1,2
2477,3.8947368421052633,8,0,4,6,19,375,5.789473684210527,19.73684210526316,39,28,11,9,14,1,3,16.833333333333332,20.722222222222214,17.93110355965748,22.750906351274,Exam2014_ZEv_10_2.txt,3,2
2479,4.333333333333333,6,2,4,6,12,311,6.916666666666668,25.91666666666667,26,17,9,11,11,2,5,25.63636363636364,32.45454545454545,29.151075691984783,35.82521645021646,Exam2016_MTsy_53_2.txt,1,2
2480,3.8,7,0,2,11,15,301,5.4,20.066666666666663,38,20,18,13,7,0,1,17.0,20.642857142857142,18.84446684268113,23.23556998556998,Exam2017_OBy_94_2.txt,5,2
2481,5.0769230769230775,9,2,6,11,13,334,9.923076923076923,25.69230769230769,22,14,8,12,21,3,5,25.16666666666667,31.16666666666667,25.84415885040885,31.524552068302068,Exam2014_VPe_26_2.txt,1,2
2483,4.9444444444444455,10,1,3,8,18,393,5.666666666666668,21.83333333333333,43,24,19,21,18,1,1,21.70588235294117,27.058823529411764,20.550489279079247,25.39379482493669,Exam2017_OBy_101_2.txt,2,2
2485,4.533333333333333,8,3,6,7,15,309,4.933333333333334,20.6,28,20,8,8,23,4,2,15.714285714285715,20.214285714285715,16.347210131138702,22.07814031206888,Exam2017_NMya_1_2.txt,3,2
2488,5.647058823529411,9,3,10,16,17,442,6.529411764705883,26.0,32,14,18,10,31,5,6,20.625,28.25,21.322562940531693,29.037533300033303,Exam2017_EGe_1_2.txt,1,2
2489,4.4,6,0,3,2,10,227,7.1,22.7,25,18,7,8,14,1,1,18.88888888888889,26.11111111111111,18.922663139329806,25.586199294532623,Exam2014_AMe_6_2.txt,1,2
2490,3.882352941176471,7,0,4,5,17,334,7.470588235294117,19.647058823529417,29,22,7,6,22,0,6,17.9375,23.0625,18.496769983488733,23.515963810495062,Exam2014_EEm_25_2.txt,3,2
2492,3.1428571428571432,5,0,1,1,14,189,4.714285714285714,13.5,21,18,3,0,12,0,3,9.615384615384617,13.0,10.013131953516568,13.582424199731893,Exam2017_OBy_6_2.txt,1,2
2493,4.0,8,2,4,8,16,329,7.75,20.5625,29,16,13,11,16,1,3,17.733333333333334,23.4,17.74934768934769,23.04371369371369,Exam2017_OBy_120_2.txt,3,2
2494,5.285714285714286,10,1,6,4,14,320,5.571428571428571,22.85714285714285,41,30,11,5,16,2,5,19.07692307692308,24.461538461538463,22.84997651920729,29.065035605420217,Exam2017_EGe_83_2.txt,1,2
2496,4.4,7,3,3,4,10,221,5.4,22.1,20,14,6,10,17,2,1,15.111111111111107,22.222222222222214,18.529894179894185,25.824074074074076,Exam2014_VPe_32_2.txt,4,2
2500,5.583333333333332,8,0,3,8,12,283,3.25,23.58333333333333,25,16,9,7,14,1,0,18.09090909090909,25.0,18.34187655778565,25.34549717958809,Exam2016_OR_62_2.txt,1,2
2503,4.909090909090909,8,0,5,6,11,248,6.363636363636362,22.54545454545455,17,7,10,6,18,1,3,17.5,23.0,19.219484126984128,25.193492063492062,Exam2016_OR_11_2.txt,1,2
2504,4.6,6,3,1,7,15,333,5.8,22.2,31,21,10,16,21,0,1,19.5,24.5,20.328545066045063,25.21885455814027,Exam2017_ABl_48_2.txt,2,2
2505,4.0,8,1,2,4,17,282,3.8235294117647056,16.588235294117652,34,24,10,4,12,0,1,14.9375,18.9375,14.455814064407814,18.158429331085586,Exam2016_OR_27_2.txt,4,2
2509,4.6923076923076925,7,3,6,6,13,287,5.461538461538462,22.07692307692308,25,16,9,4,26,1,2,17.833333333333332,23.08333333333333,20.50881132756133,26.333122895622893,Exam2014_ADe_17_2.txt,1,2
