,av_depth,max_depth,min_depth,num_acl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,lemma_sim_nei,pos_sim_all,lemma_sim_all,name,errors,type
1195,4.461538461538462,8,1,1,1,13,238,4.769230769230768,18.30769230769231,21,19,2,5,26,0,0,17.083333333333332,22.08333333333333,15.849185305435304,20.50832130832131,Exam2017_NMya_10_1.txt,7,1
1197,3.583333333333333,5,2,7,1,12,205,6.916666666666668,17.083333333333332,12,10,2,1,7,7,0,16.09090909090909,20.454545454545453,15.94012199921291,20.149367047094323,Exam2014_DAr_12_1.txt,1,1
1198,5.0,8,3,4,2,12,364,6.5,30.33333333333333,26,21,5,7,18,3,0,26.90909090909091,33.36363636363637,26.099865538501906,32.46563360881542,Exam2014_MTsy_36_1.txt,1,1
1199,4.888888888888889,8,2,5,8,9,229,7.222222222222222,25.444444444444446,16,8,8,5,14,1,3,24.5,30.5,23.492559523809533,28.92752976190476,Exam2016_EKu_21_1.txt,5,1
1201,3.7692307692307687,7,2,2,1,13,176,2.923076923076924,13.538461538461537,13,11,2,6,7,0,1,9.75,13.416666666666664,10.546359427609428,14.282542688792686,Exam2014_MGr_24_1.txt,3,1
1202,6.0,8,4,3,3,6,184,6.5,30.66666666666667,17,12,5,3,5,1,0,27.4,34.4,27.676666666666662,34.50333333333333,Exam2014_TSha_22_1.txt,1,1
1203,5.5,11,3,6,4,10,230,4.0,23.0,19,12,7,6,12,9,0,23.777777777777786,29.444444444444446,20.524911816578484,25.564329805996472,Exam2016_JSl_134_1.txt,1,1
1206,4.142857142857143,8,3,3,3,7,136,3.7142857142857135,19.428571428571427,11,7,4,1,4,2,0,19.666666666666668,23.66666666666667,16.308333333333334,20.45555555555556,Exam2016_EKu_159_1.txt,1,1
1207,5.666666666666668,7,4,3,4,6,205,5.833333333333332,34.166666666666664,13,5,8,1,10,6,0,26.2,33.2,25.51,33.026666666666664,Exam2017_ESa_11_1.txt,4,1
1208,4.428571428571429,7,3,2,2,7,180,4.714285714285714,25.714285714285715,10,8,2,4,6,0,0,20.666666666666668,26.0,21.194444444444443,26.43333333333333,Exam2017_VSa_92_1.txt,2,1
1214,5.4444444444444455,9,3,3,2,9,188,4.222222222222221,20.88888888888889,10,6,4,3,12,7,0,16.875,22.25,16.433035714285715,21.970089285714288,Exam2017_ESa_5_1.txt,4,1
1215,4.6,7,2,1,1,10,172,8.1,17.2,12,11,1,5,18,0,1,14.0,18.444444444444443,13.38531746031746,17.741313932980603,Exam2017_DOv_23_1.txt,3,1
1217,4.75,8,3,0,3,8,190,5.75,23.75,23,19,4,1,10,1,0,16.714285714285715,21.571428571428577,19.63401360544217,24.58503401360544,Exam2014_DZu_39_1.txt,2,1
